ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
283," Because of his outstanding record of fairness and honesty, Judge Brighten is _______ respected than any other judge in the state.",,more highly,highest,higher,high
284, Everyone is required to gargle and wash their hands when they enter the building _______ prevent the spread of germs.,,in order to,because of,for,so that
285, The elementary students put on a very _______ talent show for the people in the neighborhood., ここでは、印象的なという意味の形容詞を選ぶ。put on =上映する。 ,impressive,impressing,impressed,impressionist
286," The election turnout was not very good _______ the cold, rainy weather.",,due to,consequently,however,although
287, The Japanese tool makers are as _______ at global competition as the Germans.,,tough,toughness,tougher,toughen
288, Employees coming back to their home country from an overseas assignment often encounter some _______ problems.,"  retrial = やり直し, retrogressive = 逆行する、retroactive = 以前にさかのぼる",reentry,retrial,retrogressive,retroactive
289, Questions about the safety of food products should be _______ to the Environmental Protection Agency., 受け身は能動態に直してみること。 direct questions to ? はOK but ask questions toは、NG. ,directed,informed,answered,asked
290, Most bombs made by terrorists contain _______ gunpowder.,,some,any,small,most
291, The auto company _______ a new engine that cut air pollution by 50%.,"  You have to say ""The auto company produces a new..."" but you cannot use ""produce"" for 3rd person singular.",produced,product,produce,producing
292, Every construction company that hires high school students has to provide protective equipment to safeguard _______ against accidents.,  them = high school students,them,it,they,their
293, The company doesn't plan to _______ that many new employees this year.,,recruit,find out,join,work
294, The businessperson who can speak several Asian languages _______ many advantages over rivals when moving into new markets.,,has,are,is,have
295," If your company wants to be successful in Japan, it will have to make a major _______ to market.",,commitment,committing,commit,committed
296, The bids submitted by the construction companies _______ in a special safe.,,were placed,placing,placed,are placing
297, Department store profits will be lower again this year due to _______ sales.,  depreciated 見くびられた、  descended ...に由来した、  deprived 恵まれない,depressed,depreciated,deprived,descended
298, Schools preparing students for the future are trying to create more _______ programs of study., invalid 無効な、　intrusive 邪魔な、 intentional 故意の、,innovative,invalid,intrusive,intentional
299, Many companies will make 20 to 30% cuts in their workforces _______ the next few years in order to become more competitive.,,over,at,about,by
300, Mark won a silver medal in the 4500 meter dash so his parents were very proud of _______.,,him,his,he,himself
301, Many college graduates don't expect _______ job interviews before January.,,to finish,finishing,finished,finish
302, Many people in the 70's thought that solar energy could be a cheap _______ for fossil fuels.,,substitute,difference,replacing,change
303, The prospects for a good job this year are very _______ according to my professor.,  should be adjective. depressive = 憂鬱な  prospect = 見込み  ,depressing,depressive,depressed,depression
304, Mike is planning to take a gift to the hostess of the party _______ it is not really expected.,,although,whether,or,because
305, I can't pay the bill _______ I get my pay check for this month.,,until,although,for,however
306, The construction of the building will take _______ nine months to complete.,,approximately,particularly,exact,kind of
307, All _______ luggage is stored in a special room for three months.,,unclaimed,unclassified,undefined,undecided
308, Our university receives _______ donations from large companies.,,regular,often,every,almost
309, Would you send _______ more money in the mail?,,me,mine,my,I
310, Some trees grow better in the mountains than _______.,,others,another,one another,some other
311, The bank _______ to file the report on time and was fined by the government.,,failed,rejected,lost,lacked
312, The company had one of its most _______ years ever., succeeding = 次の　,successful,success,succeeding,succeeded
313, The bio-tech company John set up _______ was highly profitable.,,himself,his own,by his,his
314, To be a good teacher requires a _______ understanding of human nature.," entire, extreme both require ""an"" !!",broad,entire,round,extreme
